N_value,P_value,K_value,Fertilizer
0.59,         1.00,         0.23,         115
1.12,         17.00,         0.69,         50
0.42,         1.00,         0.59,         120
2.25,         2.00,         0.56,         50
1.69,         20.00,         0.63,         50
1.46,         11.00,         0.36,         40
1.91,         17.00,         0.65,         50
2.16,         11.00,         0.67,         20
1.20,         9.00,         0.57,         40
1.85,         12.00,         0.26,         35
0.39,         9.00,         0.47,         100
1.58,         0.00,         0.32,         55
1.01,         19.00,         0.44,         40
0.91,         15.00,         0.25,         60
0.68,         25.00,         0.71,         80
2.02,         19.00,         0.36,         80
1.14,         23.00,         0.37,         40
1.41,         18.00,         0.46,         40
0.62,         8.00,         0.33,         80
1.27,         19.00,         0.53,         40
1.39,         16.00,         0.69,         50
1.19,         0.00,         0.52,         55
0.56,         28.00,         0.22,         90
1.90,         3.00,         0.35,         40
2.32,         19.00,         0.29,         30
0.44,         1.00,         0.23,         115
0.66,         7.00,         0.20,         115
1.03,         9.00,         0.61,         50
1.34,         6.00,         0.72,         50
1.89,         28.00,         0.33,         40
1.12,         23.00,         0.37,         40
1.51,         21.00,         0.31,         40
2.34,         11.00,         0.24,         30
1.35,         10.00,         0.22,         35
1.05,         21.00,         0.37,         40
1.39,         27.00,         0.69,         50
0.85,         12.00,         0.55,         80
0.75,         2.00,         0.41,         110
0.65,         5.00,         0.41,         60
1.92,         21.00,         0.34,         40
1.16,         11.00,         0.45,         40
2.15,         11.00,         0.52,         20
1.03,         6.00,         0.74,         50
1.60,         19.00,         0.65,         50
1.79,         4.00,         0.61,         50
1.85,         28.00,         0.35,         40
1.97,         28.00,         0.66,         50
1.25,         11.00,         0.69,         50
1.31,         29.00,         0.48,         40
0.71,         13.00,         0.17,         110
1.89,         26.00,         0.56,         40
0.85,         4.00,         0.59,         60
0.93,         23.00,         0.63,         80
2.29,         21.00,         0.70,         10
0.72,         29.00,         0.68,         80
2.39,         25.00,         0.40,         25
1.28,         20.00,         0.34,         40
2.39,         2.00,         0.13,         50
1.32,         11.00,         0.69,         50
1.72,         3.00,         0.57,         40
1.49,         7.00,         0.73,         50
1.35,         26.00,         0.42,         40
1.29,         14.00,         0.30,         40
1.36,         28.00,         0.65,         50
1.17,         27.00,         0.63,         50
0.89,         9.00,         0.45,         80
1.16,         22.00,         0.68,         50
1.06,         13.00,         0.42,         40
1.97,         15.00,         0.39,         40
2.35,         9.00,         0.38,         20
2.26,         29.00,         0.71,         10
1.04,         1.00,         0.38,         55
2.28,         1.00,         0.31,         50
0.67,         12.00,         0.47,         80
1.97,         14.00,         0.42,         40
0.53,         23.00,         0.68,         80
1.45,         21.00,         0.31,         40
0.37,         2.00,         0.36,         120
1.73,         19.00,         0.28,         35
1.67,         19.00,         0.57,         40
1.62,         2.00,         0.64,         60
2.14,         18.00,         0.40,         20
1.49,         26.00,         0.43,         40
0.46,         21.00,         0.21,         90
1.93,         28.00,         0.64,         50
1.62,         17.00,         0.56,         40
0.76,         14.00,         0.30,         80
2.30,         21.00,         0.21,         30
1.55,         3.00,         0.41,         40
0.99,         2.00,         0.24,         115
0.60,         22.00,         0.49,         90
0.98,         29.00,         0.33,         90
1.46,         11.00,         0.13,         60
2.09,         25.00,         0.25,         60
1.51,         11.00,         0.32,         40
1.95,         0.00,         0.29,         80
0.59,         13.00,         0.48,         80
2.39,         4.00,         0.45,         30
0.88,         22.00,         0.41,         90
1.01,         28.00,         0.20,         40
1.54,         7.00,         0.71,         50
0.33,         26.00,         0.65,         110
2.12,         17.00,         0.37,         20
0.92,         19.00,         0.63,         90
1.19,         27.00,         0.56,         40
0.32,         9.00,         0.15,         110
0.34,         22.00,         0.49,         100
1.67,         16.00,         0.20,         60
2.13,         23.00,         0.24,         30
1.44,         0.00,         0.69,         60
0.54,         7.00,         0.29,         100
1.13,         6.00,         0.20,         45
1.22,         6.00,         0.22,         45
2.39,         6.00,         0.52,         30
1.78,         27.00,         0.49,         40
0.77,         29.00,         0.44,         90
2.38,         9.00,         0.70,         20
0.48,         19.00,         0.38,         100
1.69,         2.00,         0.14,         90
1.58,         8.00,         0.13,         60
1.58,         28.00,         0.47,         40
1.67,         29.00,         0.74,         50
0.90,         12.00,         0.55,         80
1.12,         6.00,         0.38,         45
2.20,         7.00,         0.49,         30
0.84,         4.00,         0.38,         60
0.93,         29.00,         0.51,         90
2.21,         24.00,         0.36,         25
1.67,         13.00,         0.52,         40
1.03,         25.00,         0.55,         40
1.20,         5.00,         0.25,         45
2.27,         9.00,         0.48,         20
0.40,         15.00,         0.17,         110
1.08,         15.00,         0.18,         60
2.22,         20.00,         0.15,         50
1.43,         29.00,         0.52,         40
1.15,         8.00,         0.14,         60
1.66,         3.00,         0.31,         40
0.38,         5.00,         0.38,         90
0.44,         25.00,         0.35,         100
